journal,abbreviation,issn,alternative_title
Steueranwaltsmagazin,,1615-5610,
Steuer + Studium,SteuerStud,"0173-1599,1868-3126",
Streit,Streit,0175-4467,
StrafRechtsReport,StRR,1864-7200,
StuB - Unternehmenssteuern und Bilanzen,StuB,,
Die Steuer-Warte,StW,0178-2096,
Steuer-Telex,StX,0170-7620,
Südosteuropa-Mitteilungen,Südosteuropa-Mitt,,
Straßenverkehrsrecht. Zs für die Praxis des Verkehrsjuristen,SVR,"1022-8047,1430-5607,0582-0251,1613-1096",Straßenverkehrsrecht
Schweizerische Zeitschrift für internationales und europäisches Recht,SZIER,1019-0406,Swiss review of international and European law
Schweizerische Zeitschrift für Wirtschafts- und Finanzmarktrecht,SZW,1662-8705,
"Archiv für Urheber-,Film-,Funk- und Theaterrecht",UFITA,"0003-9454,0582-0804,1424-4276",Schriftenreihe des Archivs für Urheber- und Medienrecht
Umwelt- und Planungsrecht,UPR,"2570-1061,0721-7390",
Umsatzsteuer- und Verkehrssteuer-Recht,UVR,"0935-7998,2195-8912",Umsatzsteuer- und Verkehrsteuer-Recht
Verkehrsrecht aktuell,VA,1615-3995,
Verkehrsdienst,VD,"1436-5510,0341-4388,0938-5800,1865-6935,1862-7757,1618-9582,0342-9407,1431-6633,1431-2921,0178-2908,0340-1545,0342-801X,0172-0686,1869-389X,0942-9247,0947-0581,1862-7749,2567-0557,1437-1553,0171-712X,0936-5893",Beck-Steuer-Direkt-DVD
Mitteilungen / Vereinigung für Deutsch-Russisches Wirtschaftsrecht,VDRW-Mitteilungen,0942-9247,Mitteilungen / Vereinigung für Deutsch-Russisches Wirtschaftsrecht e.V
Der Verkehrsanwalt,VerkA,"1866-993X,1438-3373",Die Verkehrsanwältin
Der Verkehrsjurist,Verkehrsjurist,1613-1096,Straßenverkehrsrecht
Verkehrsrechtliche Mitteilungen,VerkMitt,0342-6734,
Versicherungspraxis,VersPrax,,
Versicherungsrecht / Beilage Ausland,VersRAI,,
Vierteljahrshefte für Zeitgeschichte,VfZ,,
Versicherung und Recht kompakt,VK,1861-9843,
Verkehrsunfall und Fahrzeugtechnik,VKU,,
Verwaltung & Management,VM,"0947-9856,2942-352X",
Der Vollzugsdienst,VollzD,,
Rundbrief VPP,VPP-Rundbrief,2750-722X,Rundbrief / VPP
Verkehrsrechtsreport,VRR,1862-3980,
Wirtschaftsrechtliche Blätter,wbl,"0930-3855,1864-3434",
Wertermittlungsforum,WF,"1613-7450,1434-5390,0945-1285,0721-9229,1434-1646",Asylmagazin
Wistra. Zeitschrift für Wirtschafts- und Steuerstrafrecht,Wistra,0176-7283,"Wistra, Wistra-Kartei"
Wirtschaft und Verwaltung,WiVerw,0720-003X,
Wertpapier-Mitteilungen Teil IV,WM / 4,0342-6971,"Wertpapier-Mitteilungen, Teil 4: Zeitschrift für Wirtschafts- und Bankrecht"
Die Wirtschaftsprüfung,WPg,"1863-9658,0340-9031","Die Wirtschaftsprüfung, Supplement : IDW-Verlautbarungen im ... Quartal .."
WSI Mitteilungen,WSI Mitt.,,
Wohnungswirtschaft & Mietrecht,WuM,"0509-0717,0173-1564",Wohnungswirtschaft und Mietrecht
Wussow-Informationen zum Versicherungs- und Haftpflichtrecht,Wussow-Informationen,,
Wege zur Sozialversicherung,WzS,"2191-7345,0043-2059",
Zeitschrift für die Anwaltspraxis,ZAP,0936-7292,
Zeitschrift für altoriental. und biblische Rechtsgeschichte,ZAR,"1439-619X,2749-9278,2747-4461,0721-5746,0948-0587","Zeitschrift für altorientalische und biblische Rechtsgeschichte, Beihefte zur Zeitschrift für altorientalische und biblische Rechtsgeschichte"
Schweizerisches Zentralblatt für Staats- und Verwaltungsrecht,ZB,1422-0709,
Zeitschrift des Bernischen Juristenvereins,ZBJV,"0044-2127,2504-1444",
Zeitschrift für Bildungsverwaltung,ZBV,0947-9872,Zeitschrift für Betriebsverfassungsrecht
Zeitschrift für Corporate Governance,ZCG,1862-8702,
Zeitschrift für deutsches und amerikanisches Recht,ZDAR,2199-0271,
Zeitschrift für evangelische Ethik,ZEE,,
Zeitschrift für europarechtliche Studien,ZEuS,"2942-3589,1435-439X",
Zeitschrift für Bibliothekswesen und Bibliographie,ZfBB,,
Zeitschrift für Lebensrecht,ZfL,"2747-6480,0944-4521,2749-8875",
Zeitschrift für Menschenrechte,zfmr,"1864-6492,2749-4845",
Zeitschrift für Politik,ZfP,"0934-9677,2363-4960,2750-2791",Zeitschrift für Personalvertretungsrecht
"Zeitschrift für Europarecht, internationales Privatrecht und Rechtsvergleichung",ZfRV,2078-1059,
Zeitschrift für Soziologie,ZfS,"0342-3514,0724-4711,2309-7531,0173-0568,0044-4278","Das Zentralblatt für Sozialversicherung, Sozialhilfe und Versorgung"
ZfSH/SGB Sozialrecht in Deutschland und Europa,ZfSH/SGB,0724-4711,Zeitschrift für Sozialhilfe und Sozialgesetzbuch
Zeitschrift für Versicherungswesen,ZfV,1017-3463,Zeitschrift für Verwaltung
Zeitschrift für Verwaltung,ZfV,1017-3463,
Zeitschrift für Zölle und Verbrauchssteuern,ZfZ,"2195-8920,0342-3484",Zeitschrift für Zölle und Verbrauchsteuern
Zeitschrift für Unternehmens- u.Gesellschaftsrecht,ZGR,"1612-7048,0340-2479",Zeitschrift für Unternehmens- und Gesellschaftsrecht
Zeitschrift für das gesamte Schuldrecht,ZGS,1619-7011,
Zeitschrift für das gesamte Handels- und Wirtschaftsrecht,ZHR,0044-2437,Zeitschrift für das gesamte Handelsrecht und Wirtschaftsrecht
Zeitschrift für das gesamte Insolvenzrecht,ZInsO,"1615-8032,2366-200X",
Zeitschrift für Jugendkriminalrecht und Jugendhilfe,ZJJ,1612-1864,
Zeitschrift für das juristische Studium,ZJS,1865-6331,
Zeitschrift für Kommunalfinanzen,ZKF,0174-1136,
Zeitschrift für Konfliktmanagement,ZKM,1439-2127,
Die Mitarbeitervertretung,ZMV,"2363-7595,0939-8198",
Zeitschrift für Neues Energierecht,ZNER,1434-3339,Zeitschrift für neues Energierecht
Zeitschrift für die Notarpraxis,ZNotP,"1615-8040,2366-2050",Zeitschrift für die NotarPraxis
Zeitschrift für öffentliche und gemeinwirtschaftliche Unternehmen,ZögU,,
Zeitschrift für öffentliches Recht,ZöR,"(191-91944),0948-4396,1613-7663,2227-2410,(199-6)",
Zeitschrift für offene Vermögensfragen,ZOV,0943-3147,
Zeitschrift für Politikwissenschaft,ZPol,,
Zeitschrift der Savigny-Stiftung …German.Abt.,ZRG,"0323-4045,2304-4934,2304-4861,0935-7963,0323-4096,0323-4142,2304-4896","Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, Germanistische Abteilung"
Zeitschrift der Savigny-Stiftung …Kanon.Abt.,ZRG,"0323-4045,2304-4934,2304-4861,0935-7963,0323-4096,0323-4142,2304-4896","Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, Germanistische Abteilung"
Zeitschrift der Savigny-Stiftung …Roman.Abt.,ZRG,"0323-4045,2304-4934,2304-4861,0935-7963,0323-4096,0323-4142,2304-4896","Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, Germanistische Abteilung"
Zeitschrift für Rechtsphilosophie,ZRph,1618-4726,
Zeitschrift für Staats- und Europawissenschaften,ZSE,,
Zeitschrift für schweizerisches Recht,ZSR,"0254-945X,0084-540X",
Zeitschrift für Sozialreform,ZSR,0514-2776,
Zeitschrift für Steuern & Recht,ZSteu,1614-7936,ZSteu
Schweizerische Zeitschrift für Strafrecht,ZStrR,0036-7893,
Zeitschrift für Stiftungs- und Vereinswesen,ZStV,1869-800X,
"Zeitschrift für Tarif-, Arbeits- und Sozialrecht",ZTR,"0931-8577,2224-6819,1439-5908",ZTR
Zur Debatte : Themen der Katholischen Akademie in Bayern,Zur Debatte,,
Zeitschrift der unabhängigen Verwaltungssenate,ZUV,,
Zeitschrift der Verwaltungsgerichtsbarkeit,ZVG,2309-5113,
Zeitschrift für vergleichende Rechtswissenschaft,ZVglRWiss,0044-3638,
Zeitschrift für Verkehrsrecht,ZVR,0044-3662,
Zeitschrift für Zivilprozess International,ZZPInt,1434-8888,Zeitschrift für Zivilprozeß international
Archiv für civilistische Praxis,AcP,"0003-8997,1868-7113",Archiv für die civilistische Praxis
Arbeitsrechtliche Praxis,AP,"1436-5510,1434-7970,0938-5800,1862-7757,0944-8438,0943-2426,1861-7565,1022-9426,0366-9807,0943-2418,0344-3825,2569-4367,1862-7749,1420-9209,0947-2401,0518-2220,0469-4333,0936-7292,0946-8870,2512-0476",Nachschlagewerk des Bundesarbeitsgerichts
Der Aufsichtsrat,AR,1613-1282,
Der Arbeitsrechtsberater,ArbRB,2366-102X,Der Arbeits-Rechts-Berater
Betriebsberater,BB,"1864-3310,1860-6695,1437-9856,1420-2476,0940-676X,1438-4841,2194-3583,1861-3098,0937-5546,2194-3591,2628-4227,0007-5884,1435-2079,1862-6890,1437-997X,1868-4920,0943-9463,0518-2220,1619-7631,0340-7918,1435-2095,0941-8156,0936-2800,1861-308X",Beraterbrief Kanzleimanagement
"Zeitschrift für Bilanzierung, Rechnungswesen und Controlling",BC,"0033-3964,0005-9935,0721-1562",Publikation
Becklink,Becklink,,
Entscheidungen des Bundesfinanzhofs,BFHE,0342-197X,
NWB Rechnungswesen,BKK,"1436-1612,0343-0995,2192-788X,2941-9727,2199-6814,2199-6822,0945-1633,1869-1838,1430-6743,0722-2351,0940-788X",Krankheitsarten-Statistik
Betriebsrat und Recht,BRuR,2750-2783,
Entscheidungen des Bundesverfassungsgerichts,BVerfGE,"1611-2962,0433-7646",
Compliance Berater,CB,"2748-8705,0170-9291",Rechtsprechung aus den Vertragsstaaten des EPÜ
COVID-19 und Recht,COVuR,2700-3051,COVID-19 und alle Rechtsfragen zur Corona-Krise
Computer Law Review International ,CRi,2194-4164,Computer law review international
Computer und Arbeit,CuA,1863-8511,
Datenschutz Nachrichten,DANA,0173-7767,Datenschutz-Nachrichten
Diversity in Recht & Wirtschaft,DivRuW,"2940-8210,2940-8229",
Deutsche Juristen-Zeitung,DJZ,1866-1696,
European Data Protection Law Review,EDPL,,
European Review of Contract Law,ERCL,,
Europäische GRUNDRECHTE-Zeitschrift,EuGRZ,"0341-9800,2750-2767",Europäische Grundrechte-Zeitschrift
Familienrecht Kompakt,FK,"1864-5690,1617-8173,0003-9209",Archiv für Kommunalwissenschaften
Forderungsmanagement professionell,FMP,1864-9769,
Finanz-Rundschau,FR,"1439-3158,1869-0688,1439-2658,1861-5554,1863-7922,0176-7771,0018-3059,2567-4765,2194-4156,1612-1546,1614-6808,1438-3292,0932-6782,0720-3845,1996-2401,0175-5293,1862-8753,2567-4897,1438-3284,0940-452X,1438-8960,2569-393X,0720-6704,1864-3701,1862-7617",Entscheidungssammlung zum gesamten Bereich von Ehe und Familie
Freilaw,Freilaw,,
Göttingen Journal of International Law,GoJIL,,
Zeitschrift für das Privatrecht der Europäischen Union ,GPR,"1612-9229,2364-7213,2193-9519,2364-7205",GPR
GRUR Internationaler Teil,GRUR Int.,"1618-9574,1618-9582",GRUR CD
GRUR Praxis,GRUR-Prax,1869-3849,Gewerblicher Rechtsschutz und Urheberrecht in der Praxis
GRUR-Rechtsprechungs-Report,GRUR-RR,"1616-2277,1618-9574,1618-9582",GRUR CD
Zeitschrift für das gesamte Verfahrensrecht,GVRZ,2625-1868,
German Yearbook of International Law,GYIL,"2195-7304,0344-3094",German yearbook of international law
Heidelberg Journal of International Law,HJIL,"2942-3562,0044-2348",Zeitschrift für ausländisches öffentliches Recht und Völkerrecht
Hamburger Rechtsnotizen,HRN,"2191-6543,2699-2299",
Höchstrichterliche Rechtsprechung zum Strafrecht,HRRS,1865-6277,HRRS
Praxis des internationalen Privat- und Verfahrensrechts,IPRax,0720-6585,IPRax
IP-Rechts-Berater,IPRB,"1869-5639,2366-1178",Der IP-Rechts-Berater
iurratio - Das Jura Journal,iurratio,,
Internationales Steuer- und Wirtschaftsrecht,IWB,0020-9368,Internationale Wirtschaftsbriefe
Journal of Banking Law and Banking,JBB,0936-2800,Zeitschrift für Bankrecht und Bankwirtschaft
"Journal of Intellectual Property, Information Technology and E-Commerce Law",JIPITEC,2190-3387,"Journal of intellectual property, information technology and electronic commerce law"
International Journal of Language & Law,JLL,1865-3030,Europäische Zeitschrift für Arbeitsrecht
juris – Die Monatszeitschrift,jM,,
Jura Studium & Examen,JSE,2195-044X,
JurPC,JurPC,0937-1125,
Junge Wissenschaft im öffentlichen Recht,JuWiss,,
Jahrbuch des öffentlichen Rechts der Gegenwart. Neue Folge,JöR,2569-4103,Jahrbuch des öffentlichen Rechts der Gegenwart
"Kunst und Recht: Journal für Kunstrecht, Urheberrecht und Kulturpolitik",KuR,"0947-8094,2366-6722",Kirche & Recht
Life & Law,L&L,,
Lindenmaier-Möhring,LMK,"1864-9343,1611-1095,0945-7615",LMK
Marburg Law Review,Marburg Law Review,,
Monatsschrift für deutsches Recht,MDR,"2194-4202,0340-1812",
Mitteilungen des Instituts für Parteienrecht und Parteienforschung,MIP,"1612-8117,2192-3833",Mitteilungen des Instituts für Deutsches und Internationales Parteienrecht und Parteienforschung
Medizin Produkte Recht,MPR,1618-9027,MedizinProdukte-Recht
Max Planck Yearbook of United Nations Law,MPYUNL,,
Mietrechts-Berater,MRB,"1612-040X,2366-1151,1663-7542",Der Miet-Rechts-Berater
MenschenRechtsMagazin,MRM,"2941-1149,1434-2820",
Netzwirtschaften & Recht,N&R,1612-9245,
Neue Juristische Online-Zeitschrift,NJOZ,2698-8887,Neue juristische Online-Zeitschrift
NJW-Rechtsprechungs-Report Zivilrecht,NJW-RR,"0940-6158,0940-614X,1618-5730,0179-4043,0940-6166,0949-2186,1434-3959,0937-6372",NStZ-Volltext-CD-ROM
NVwZ-Extra,NVwZ-Extra,0721-880X,Neue Zeitschrift für Verwaltungsrecht
NVwZ-Rechtsprechungsreport,NVwZ-RR,"0721-880X,1435-1382,0940-7286,0949-2186,0934-8603",NStZ-Volltext-CD-ROM
NWB Steuer- und Wirtschaftsrecht,NWB,"0939-5733,0173-1599,1868-3126,2702-7589,1431-4096,0179-1087,1868-2898,0028-3460,1868-2979,0020-9368,1868-3118,1860-9449,1868-288X","Neue Wirtschaftsbriefe, Direkt : Infodienst und Datenbank für Steuer- und Wirtschaftsrecht"
NZFam,NZFam,2198-2333,Neue Zeitschrift für Familienrecht
Ordnung der Wissenschaft,OdW,2197-9197,
Osteuropa Recht,OER,,
Personalvertretung,PersV,"1864-3922,0476-3475,1866-0185,1868-7857,1869-9340",Die Personalvertretung
Recht der Zahlungsdienste,RdZ,2699-1969,
Recht der Erneuerbaren Energien,REE,2193-8334,Recht der erneuerbaren Energien
Rescriptum,Res,2195-3120,
Rechtsgeschichte - Legal History,Rg,"1619-4993,2569-4901,2195-9617",Rechtsgeschichte
Entscheidungen des Reichsgerichts in Strafsachen,RGSt,,
Rechtswissenschaft - Zeitschrift für rechtswissenschaftliche Forschung,RW,"1439-3158,0044-3638,0932-2345,1615-5718,0721-8311,0723-4961,1860-6695,0932-8335,2942-3376,1996-2398,0177-5340,1862-4529,0941-696X,2569-3964,2569-4243,1614-8169,2196-7261,0941-6951,1867-8807,0481-9306,0484-0984,0942-9247,1864-905X,0940-2152,1868-8098,2626-0905,0722-2521,0177-6525,2942-3570,0171-2802,0937-7239,1869-6031,1865-5211,1615-309X",Sammlung des bereinigten Gesetz- und Verordnungsblattes für das Land Nordrhein-Westfalen
Rechtsprechungsübersicht,RÜ,"0938-3891,0178-0689",
Rechtsprechungsübersicht 2,RÜ2,2363-8036,
Zeitschrift der Savigny-Stiftung für Rechtsgeschichte,Savigny,"0323-4045,2304-4934,2304-4861,0323-4096,0323-4142,2304-4896","Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, Germanistische Abteilung"
Soziale Sicherheit - Zeitschrift für Arbeit und Soziales,SoSi,,
Streit - Feministische Rechtszeitschrift,Str,"1865-6277,2312-1920,0947-9724,1662-6966,1435-8689,2699-0067,0721-6890,0072-9442,2364-8155,0934-537X,2509-5595,1865-8334,0173-2331,1619-3431,0947-532X,1430-4376,0720-6860,0938-9741,1619-3938,1433-2442,1439-2127,0936-4285,0521-9981,1661-2868,0945-1811,0941-942X,0174-1349,0176-9049,1613-1096,2366-7303,2366-0937,1862-3980,0258-7866,0941-1674,0431-6614,1432-6833,0341-4388,2199-0336,2700-5534,1864-7200,0175-7091,0949-7129,1866-8739,1617-2272,0935-7963,1661-2612,1617-545X,0936-3459,1434-3991,2296-0112,1865-9152,0029-9340,2940-0880,0043-6143,1865-1534,0176-7283,0940-614X,0343-7841,1614-5585,2196-9868,1614-760X,0943-0008,0723-8541,0936-6210,0943-4577,0342-3514,1615-8148,1435-1390,2569-4464,2367-0371,1614-2012,1430-3183,0017-1956,0006-5250,1436-896X,1435-0122,1013-8528,1860-0093,0721-5061,1438-8332,0936-7438,2509-4998,0532-2820,0947-9252,1866-038X,2702-2471,1613-6004,2198-6975,1430-0761,2198-5146,2194-9905,0940-6158,1869-1706,0172-3391,0930-7907,0036-7893,0724-1615,2513-1419,0935-4905,0405-6779,0946-2961,2365-1083,2190-5932,0949-2186,2942-335X",Straßenverkehrsrecht
Studere,Stu,1867-6170,
Wertpapier-Mitteilungen (Zeitschrift für Wirtschafts- und Bankrecht),WM,"0931-4253,0509-0717,0342-6971,1867-9129,2199-6741,0945-9715,0173-1564","Amtsblatt des Bayerischen Staatsministeriums für Bildung und Kultus, Wissenschaft und Kunst"
Wirtschaftsprüfung ,WPg,"1863-9658,0340-9031,0172-7079",WP-Handbuch
Entscheidungsanmerkungen zum Wirtschafts- und Bankrecht,WuB,"2364-7310,1437-0344",
Wohnungswirtschaft und Mietrecht,WuM,"0509-0717,0173-1564",
ZD-Aktuell,ZD-A,,
Zeitschrift für Didaktik der Rechtswissenschaft,ZDRW,"2942-3570,2196-7261",
Zeitschrift für Europäische Rechtslinguistik,ZERL,2191-8074,
Zeitschrift für europäisches Privatrecht,ZEuP,0943-3929,
Zeitschrift für Erbrecht- und Vermögensnachfolge,ZEV,0945-4969,Zeitschrift für Erbrecht und Vermögensnachfolge
Zeitschrift für Deutsches und Internationales Bau- und Vergaberecht,ZfBR,"0947-9872,0170-0413",Zeitschrift für deutsches und internationales Baurecht
Zeitschrift für Medienwissenschaft,zfm,2364-2688,Zeitschrift für das Forderungsmanagement
Zeitschrift für Medizin-Ethik-Recht,ZfMER,2194-3761,
Zeitschrift für Umweltpolitik und Umweltrecht,ZfU,0931-0983,Zeitschrift für Umweltpolitik & Umweltrecht
Zeitschrift für geschichtliche Rechtswissenschaft,ZGRE,1611-8359,
Zeitschrift für die Gesamte Staatswissenschaft,ZgS,,
Zeitschrift für das gesamte Insolvenz- und Sanierungsrecht,ZInsO,2568-6380,
Zeitschrift für internationale Strafrechtsdogmatik,ZIS,1863-6470,
Zeitschrift für Landesverfassungsrecht und Landesverwaltungsrecht,ZLVR,"2511-3666,2509-4521",
"Risk, Fraud and Compliance",ZRFC,1867-8394,ZRFC
Zeitschrift für die Gesamte Strafrechtswissenschaft,ZStW,"1612-703X,0084-5310",Zeitschrift für die gesamte Strafrechtswissenschaft
Zeitschrift für Zivilprozess,ZZP,"0342-3468,2366-2077",
