"item_id_citing","item_id_cited","citing_pubyear","ref_seq_nr","ref_pubyear","ref_item_title","ref_source_title","ref_authors","ref_volume","scopus_ref_issue","ref_pages","ref_doi","wos_ref_article_number","scopus_ref_text","scopus_ref_fulltext","wos_citation_context","ref_pubyear_regexp"
"2-s2.0-84943534475","2-s2.0-84906022573",2009,626,1996,,Das Privatrecht am Ausgang des 20,"{""Sandrock, O.""}",,,"1-9",,,"Jahrhunders: Deutschland-Europa-und die Welt, in Juristenzeitung","SANDROCK O., Das Privatrecht am Ausgang des 20. Jahrhunders: Deutschland-Europa-und die Welt, in Juristenzeitung, 1996, 1-9",,
"2-s2.0-84943771060","2-s2.0-84882584180",2001,18,2001,Ziele-Methoden-Kosten-Nutzen: Perspektiven der Privatrechtsharmo-nisierung nach 75 Jahren UNIDROIT,Juristenzeitung,{Kronke},,,"1149-1157",,,at 1154,"KRONKE, “Ziele-Methoden-Kosten-Nutzen: Perspektiven der Privatrechtsharmo-nisierung nach 75 Jahren UNIDROIT“, Juristenzeitung, 2001, 1149-1157 at 1154.",,
"2-s2.0-84944044896","2-s2.0-84922205683",2015,17,2005,Sozialwissenschaften im Verfassungsrecht – Amerika als Vorbild?,Juristenzeitung,"{""Lepsius, O.""}","1",,"8",,,,O.Lepsius (2005) Sozialwissenschaften im Verfassungsrecht – Amerika als Vorbild?Juristenzeitung1: 8.,,
"2-s2.0-84946096818","2-s2.0-84929281244",2015,132,2011,Der 'Kernbereich' der Unionsbürgerschaft,Juristenzeitung,"{""Nettesheim, M.""}","66",,"1030",,,"1036-1037","See M. Nettesheim, ""Der 'Kernbereich' der Unionsbürgerschaft"" (2011) 66 Juristenzeitung 1030, 1036-1037;",,
"2-s2.0-84948976907","2-s2.0-84926977552",2015,141,1990,Schutz durch eingriff,Juristenzeitung,"{""Wahl, R."",""Masing, J.""}","45","12","553",,,,"R. Wahl & J. Masing, Schutz durch Eingriff, 45 Juristenzeitung (1990) 12, 553.",,
"2-s2.0-84949427091","2-s2.0-30744458057",2015,3,1946,Gesetzliches recht und übergesetzliches unrecht,Süddeutsche Juristenzeitung,"{""Radbruch, Gustav""}",,,"105",,,,"Gustav Radbruch, “Gesetzliches Recht und übergesetzliches Unrecht” (1946) Süddeutsche Juristenzeitung 105.",,
"2-s2.0-84955285540","2-s2.0-84955320084",2015,38,2008,Verfassungsrechtliche Aspekte der religiösen Beschneidung,JuristenZeitung,"{""Schwarz, K.""}","23",,"1129",,,,"Kyrill-A Schwarz, ""Verfassungsrechtliche Aspekte der religiösen Beschneidung,"" JuristenZeitung 23 (2008), 1129;",,
"2-s2.0-84955285540","2-s2.0-84955263901",2015,89,2013,Grundrechtliche Konsequenz wider geheiligte Tradition,JuristenZeitung,"{""Isensee, J.""}","7",,"327",,,,"Josef Isensee, ""Grundrechtliche Konsequenz wider geheiligte Tradition,"" JuristenZeitung 7 (2013), 327.",,
"2-s2.0-84955285540","2-s2.0-84879801119",2015,90,2012,Der Gesetzwentwurf zur Beschneidung - Kritik und strafrechtliche Alternative,JuristenZeitung,"{""Walter, T.""}","22",,"1117",,,,"See Tonio Walter, ""Der Gesetzwentwurf zur Beschneidung - Kritik und strafrechtliche Alternative,"" 22 JuristenZeitung (2012), 1117.",,
"2-s2.0-84955285540","2-s2.0-84955270137",2015,95,2013,Wie weit reicht das Erziehungsrecht der Eltern? Am Beispiel der Beschneidung von Jungen,JuristenZeitung,"{""Hörnle, T."",""Huster, S.""}","7",,,,,,"Tatjana Hörnle & Stefan Huster, ""Wie weit reicht das Erziehungsrecht der Eltern? Am Beispiel der Beschneidung von Jungen,"" JuristenZeitung 7 (2013);",,
"2-s2.0-84956553664","2-s2.0-77954351582",2012,14,2007,Urkundenedition durch prozessparteien-auskunftspflicht und weigerungsrechte,Juristenzeitung,"{""Wagner, G.""}",,,"706-718",,,,"Wagner G (2007) Urkundenedition durch prozessparteien-auskunftspflicht und weigerungsrechte, Juristenzeitung, pp 706-718",,
"2-s2.0-84958891235","2-s2.0-85082162077",2015,14,2003,,Das Bürgerliche Gesetzbuch-ein Gesetzbuch ohne Chance?,"{""Rückert, J.""}",,,"749-760",,,Juristenzeitung (JZ),"Joachim Rückert, Das Bürgerliche Gesetzbuch-ein Gesetzbuch ohne Chance?, Juristenzeitung (JZ) 2003, pp. 749-60.",,
"2-s2.0-84958891235","2-s2.0-85082154041",2015,23,1958,,Vertragsfreiheit heute,"{""Raiser, L.""}",,,"1-8",,,Juristenzeitung (JZ),"Ludwig Raiser, Vertragsfreiheit heute, Juristenzeitung (JZ) 1958, pp. 1-8",,
"2-s2.0-84963525763","2-s2.0-84943256619",2007,56,1963,Weltraumrecht ünd internationale Gerichtsbarkeit,Juristenzeitung,"{""Bückling, A.""}",,,"500",,,,"Bückling, A., ""Weltraumrecht ünd internationale Gerichtsbarkeit"", (1963) Juristenzeitung 500",,
"2-s2.0-84966679709","2-s2.0-79955272189",2005,36,1975,,Freiheit - Wertordnung - Pflichtordung: Zur Entwicklung der Grundrechtjudicatur des Bundesverfassungsgericht Juristenzeitung,"{""Denninger, Erhard""}","30",,"545",,,,"Erhard Denninger, Freiheit - Wertordnung - Pflichtordung: Zur Entwicklung der Grundrechtjudicatur des Bundesverfassungsgericht Juristenzeitung 30 (1975) 545",,
"2-s2.0-84976449481","2-s2.0-84976453849",2016,3,1963,Von den möglichkeiten einer laufzeitgeldstrafe,Juristenzeitung,"{""Baumann, J.""}","18",,"733-739",,,,J.Baumann (1963) Von den möglichkeiten einer laufzeitgeldstrafe. Juristenzeitung18: 733–739.,,
"2-s2.0-84976527986","2-s2.0-84917713453",2016,110,1948,Des Reichsjustizministeriums Ruhm und Ende zum Nürnberger Juristen-Prozess,Süddeutsche Juristenzeitung,"{""Radbruch, G.""}",,,"121-131",,,"reprinted in Hans de With, ed., Gustav Radbruch, 129","Gustav Radbruch, ""Des Reichsjustizministeriums Ruhm und Ende zum Nürnberger Juristen-Prozess,"" in Süddeutsche Juristenzeitung (1948), reprinted in Hans de With, ed., Gustav Radbruch, 121-31, 129;",,
"2-s2.0-84977155350","2-s2.0-78149309623",2016,111,1947,Zur Anwendung des Kontrollratsgesetzes Nr. 10 durch deutsche Gerichte,Suddeutsche JuristenZeitung,"{""Hodenberg, H.V.""}",,,"113-124",,,special edition (March,"Hodenberg, Hodo von. ""Zur Anwendung des Kontrollratsgesetzes Nr. 10 durch deutsche Gerichte."" Suddeutsche JuristenZeitung, special edition (March 1947): 113-24.",,
"2-s2.0-84977155350","2-s2.0-84917713453",2016,195,1948,Des Reichsjustizministeriums Ruhm und Ende: Zum Nürnberger Juristen-Prozess.,Süddeutsche Juristenzeitung,"{""Radbruch, G.""}","3","2","57-64",,,,"Radbruch, Gustav. ""Des Reichsjustizministeriums Ruhm und Ende: Zum Nürnberger Juristen-Prozess."" Süddeutsche Juristenzeitung 3, no. 2 (1948): 57-64.",,
"2-s2.0-84977155350","2-s2.0-84968578401",2016,197,1947,Zur Diskussion Über Die Verbrechen Gegen Die Menschlichkeit,Süddeutsche JuristenZeitung,"{""Radbruch, G.""}","2",,"131-136",,,,"Radbruch, Gustav. ""Zur Diskussion Über Die Verbrechen Gegen Die Menschlichkeit."" Süddeutsche JuristenZeitung 2 (1947): 131-36.",,
"2-s2.0-84977155350","2-s2.0-84977184355",2016,236,1935,Kodifikation oder Novelle? Über die Aufgabe und Methode der heutigen Gesetzgebung,Deutsche JuristenZeitung,"{""Schmitt, C.""}","40","15-16","919-925",,,,"Schmitt, Carl. ""Kodifikation oder Novelle? Über die Aufgabe und Methode der heutigen Gesetzgebung."" Deutsche JuristenZeitung 40, nos. 15/16 (1935): 919-25.",,
"2-s2.0-84977155350","2-s2.0-84977096367",2016,294,1947,Die Bestrafung von Humanitätsverbrechen und der Grundsatz Nullum Crimen Sine Lege,Süddeutsche JuristenZeitung,"{""Wimmer, A.""}",,,"123-132",,,,"Wimmer, August. ""Die Bestrafung von Humanitätsverbrechen und der Grundsatz Nullum Crimen Sine Lege."" Süddeutsche JuristenZeitung (1947): 123-32.",,
"2-s2.0-84982166630","2-s2.0-85056187370",2018,8,2015,Bitcoin: Der Versuch einer vertragstypologischen Einordnung von kryptographischem Geld,Juristenzeitung,"{""Beck, B."",""König, D.""}","70","3","130-138",,,,"Beck, B., & König, D. (2015). Bitcoin: Der Versuch einer vertragstypologischen Einordnung von kryptographischem Geld. Juristenzeitung, 70(3), 130–138",,
"2-s2.0-84996536306","2-s2.0-84996572566",2016,11,2012,,Verfassungs-und Europarechtliche Zulässigkeit von Eurobonds,"{""Werner, H."",""Thiele, A.""}","68",,,,,Juristenzeitung 973,"Heun, Werner, and Alexander Thiele. 2012. ""Verfassungs-und europarechtliche Zulässigkeit von Eurobonds"" 68 Juristenzeitung 973.",,
"2-s2.0-85014217416","2-s2.0-30744458057",2016,87,1946,Gesetzliches Unrecht und iibergesetzliches Recht,Siiddeutsche Juristenzeitung,"{""Radbruch, G.""}",,,"105-108",,,,"Gustav Radbruch, Gesetzliches Unrecht und iibergesetzliches Recht, in: Siiddeutsche Juristenzeitung 1946, 105-108.",,
"2-s2.0-85014217416","2-s2.0-85014236846",2016,107,2009,Verscharfung der oder Abschied von der Neutralitat?,Juristenzeitung,"{""Heinig, H.M.""}","64",,"1136-1140",,,,"Hans Michael Heinig, Verscharfung der oder Abschied von der Neutralitat? in: Juristenzeitung 64 (2009), 1136-1140.",,
"2-s2.0-85015111700","2-s2.0-85040426155",1996,25,1995,Neuere Rechtsprechung des EuGH zum europäischen Sozialrecht,Juristenzeitung,{Eichenhofer},"1047",,,,,,"Eichenhofer, ‘Neuere Rechtsprechung des EuGH zum europäischen Sozialrecht’, (1995) Juristenzeitung 1047.",,
"2-s2.0-85015111700","2-s2.0-85040390165",1996,26,1995,Europa und nationales Verfassungsrecht nach dem Maastricht-Urteil: Kritische Bemerkungen,Juristenzeitung,{Fromont},"803",,,,,,"Fromont, ‘Europa und nationales Verfassungsrecht nach dem Maastricht-Urteil: kritische Bemerkungen’, (1995) Juristenzeitung 803.",,
"2-s2.0-85015111700","2-s2.0-85040416504",1996,28,1965,Nipperdey und seine Kritiker,Juristenzeitung,{Gammillscheg},"47",,,,,,"Gammillscheg, ‘Nipperdey und seine Kritiker’, (1965) Juristenzeitung 47.",,
"2-s2.0-85015111700","2-s2.0-85040418853",1996,45,1964,Die Rechtsprechung des Bundesarbeitsgerichts,Juristenzeitung,{Ramm},"582",,,,,,"Ramm, ‘Die Rechtsprechung des Bundesarbeitsgerichts’, (1964) Juristenzeitung 582.",,
"2-s2.0-85015111700","2-s2.0-85040418853",1996,46,1966,Die Rechtsprechung des Bundesarbeitsgerichts,Juristenzeitung,{Ramm},"220",,,,,,"Ramm, ‘Die Rechtsprechung des Bundesarbeitsgerichts’, (1966) Juristenzeitung 220.",,
"2-s2.0-85015111700","2-s2.0-78650048204",1996,70,1994,Die Rolle der rechtsprechenden Gewalt in der europäischen Integration,Juristenzeitung,{Zuleeg},"1",,,,,,"Zuleeg, ‘Die Rolle der rechtsprechenden Gewalt in der europäischen Integration’, (1994) Juristenzeitung 1.",,
"2-s2.0-85017890123","2-s2.0-85036314785",2015,81,,,Deutsche Juristenzeitung,"{""Popitz, J.""}",,,,,,,"Johannes Popitz, der Reichssparkommissar, in: Deutsche Juristenzeitung 32. 1927, H. 2, Sp. 123-127;",,
"2-s2.0-84945485209","2-s2.0-61649111170",2015,17,2005,Der homo oeconomicus und das Schuldrecht: Herausforderungen durch Behavioral Law and Economics,Juristenzeitung,"{""Eidenmüller, H.""}","60",,"216-223",,,,"Eidenmüller, H. (2005). Der homo oeconomicus und das Schuldrecht: Herausforderungen durch Behavioral Law and Economics. Juristenzeitung, 60, 216–223.",,
"2-s2.0-84945485209","2-s2.0-85018150683",2015,68,1994,Grenzen der gerichtlichen Privatrechtsangleichung mittels der Grundfreiheiten des EG-Vertrages,Juristenzeitung,"{""Remien, O.""}",,,"349-353",,,,"Remien, O. (1994). Grenzen der gerichtlichen Privatrechtsangleichung mittels der Grundfreiheiten des EG-Vertrages. Juristenzeitung, 349–353.",,
"2-s2.0-84945485209","2-s2.0-84938984220",2015,71,2013,Bedeutungsverluste der Zivilgerichtsbarkeit durch Verbrauchermediation,Juristenzeitung,"{""Roth, H.""}",,,"637-644",,,,"Roth, H. (2013). Bedeutungsverluste der Zivilgerichtsbarkeit durch Verbrauchermediation. Juristenzeitung, 637–644.",,
"2-s2.0-84945485209","2-s2.0-85018145637",2015,98,2011,"Anmerkung zu EuGH, 7. 12. 2010, verb. Rs. C-585/08 und C-144/09, Pammer./. Reederei Karl Schlüter und Alpenhof./. Heller [Verbrauchergerichtsstand bei Online-Angeboten]",Juristenzeitung,"{""Von Hein, J.""}",,,"954-958",,,,"Von Hein, J. (2011). Anmerkung zu EuGH, 7. 12. 2010, verb. Rs. C-585/08 und C-144/09, Pammer./. Reederei Karl Schlüter und Alpenhof./. Heller [Verbrauchergerichtsstand bei Online-Angeboten]. Juristenzeitung, 954–958.",,
"2-s2.0-84951864580","2-s2.0-84869955004",2015,204,1992,Das römisch-kanonische ius commune als Grundlage europäischer Rechtseinheit,Juristenzeitung,"{""Zimmermann, R.""}",,,"8-20",,,,"Zimmermann, R. Das römisch-kanonische ius commune als Grundlage europäischer Rechtseinheit. Juristenzeitung. 1992, 8-20.",,
"2-s2.0-84952664139","2-s2.0-84926467279",2015,275,2010,Das Energiekapitel im Vertrag von Lissabon,Juristenzeitung,"{""Nettesheim, M.""}","65",,"19-25",,,,"Nettesheim, Martin 2010. ‘Das Energiekapitel im Vertrag von Lissabon’, Juristenzeitung 65: 19-25.",,
"2-s2.0-84953387398","2-s2.0-84888221390",2011,11,1992,Vom deutschen zum europäischen Privatrecht?,Juristenzeitung,"{""Ulmer, P.""}",,,"1",,,,"P Ulmer,‘Vom deutschen zum europäischen Privatrecht?’ (1992) JuristenZeitung 1;",,
"2-s2.0-84953387398","2-s2.0-85198589143",2011,16,1993,"Gemeinsames Privatrecht in der Europäischen Gemeinschaft—Tagung in Trier, 2–4 April 1992",Juristenzeitung,"{""Remien, O.""}",,,"301",,,,"O Remien, ‘Gemeinsames Privatrecht in der Europäischen Gemeinschaft—Tagung in Trier, 2–4 April 1992’ (1993) JuristenZeitung 301.",,
"2-s2.0-84953387398","2-s2.0-84869955004",2011,85,1992,Das römisch-kanonische ius commune als Grundlage europäische Rechtseinheit,Juristenzeitung,"{""Zimmermann, R.""}",,,"8",,,,"R Zimmermann, ‘Das römisch-kanonische ius commune als Grundlage europäische Rechtseinheit’ (1992) JuristenZeitung 8.",,
"2-s2.0-84953423441","2-s2.0-85016365603",2013,12,2012,,Der Vorschlag för Eine Verordnung Öber Ein Gemeinsames Europäisches Kaufrecht? JuristenZeitung,"{""Eidenmöller, H."",""Jansen, N."",""Kieninger, E.M."",""Wagner, G."",""Zimmermann, R.""}",,,"269-273",,,,"H. Eidenmöller, N. Jansen, E.M. Kieninger, G. Wagner and R. Zimmermann, 'Der Vorschlag för eine Verordnung öber ein Gemeinsames Europäisches Kaufrecht? JuristenZeitung 2012, 269-273",,
"2-s2.0-84953790526","2-s2.0-84953805558",2015,36,2013,Die Entscheidung des UN-Ausschusses gegen Rassendiskriminierung im Fall Sarrazin,Juristenzeitung,"{""Payandeh, M.""}",,,"980",,,,"M. Payandeh, 'Die Entscheidung des UN-Ausschusses gegen Rassendiskriminierung im Fall Sarrazin' (2013) Juristenzeitung, 980.",,
"2-s2.0-84955557565","2-s2.0-84955606280",2012,172,1995,Doppelstaatsangehörigkeit und Internationales Privatrecht,Juristenzeitung,"{""Dethloff, N.""}",,"2","64-73",,,,"Dethloff, Nina, ""Doppelstaatsangehörigkeit und Internationales Privatrecht"", Juristenzeitung, no. 2 (1995): 64-73.",,
"2-s2.0-84955557565","2-s2.0-84955619759",2012,372,1993,Probleme der Doppelstaatsangehörigkeit im deutschen Internationalen Privatrecht,Juristenzeitung,"{""Martiny, D.""}",,"23","1145-1150",,,,"Martiny, Dieter, ""Probleme der Doppelstaatsangehörigkeit im deutschen Internationalen Privatrecht"", Juristenzeitung, no. 23 (1993): 1145-1150.",,
"2-s2.0-84957965983","2-s2.0-84892968765",2016,7,1984,"'Streng, aber gerecht: Schutz der Staatssicherheit durch den Volksgerichtshof,'",Juristenzeitung,"{""Rüping, H.""}","39",,"815-821",,,,"Hinrich Rüping, ""Streng, aber gerecht: Schutz der Staatssicherheit durch den Volksgerichtshof,"" Juristenzeitung, XXXIX (1984), 815-821.",,
"2-s2.0-84959236676","2-s2.0-78650059126",2016,16,1995,Verfassungsrechtsprechung im geschichtlichen Wandel,Juristenzeitung,"{""Hesse, K.""}","50",,"267",,,,"K. Hesse, ‘Verfassungsrechtsprechung im geschichtlichen Wandel’, Juristenzeitung 50 (1995), p.267",,
"2-s2.0-84959431996","2-s2.0-80053391934",2016,93,2006,Wer zitiert wen? - Zur Funktion von Zitaten bei der Herausbildung gemeineuropäischen Verfassungsrechts,JuristenZeitung,"{""Nußberger, A.""}","61",,"763 and 766-767",,,,"A. Nußberger, 'Wer zitiert wen? - Zur Funktion von Zitaten bei der Herausbildung gemeineuropäischen Verfassungsrechts' (2006) 61 JuristenZeitung 763, 766-767.",,
"2-s2.0-84960472235","2-s2.0-84856848501",2014,120,1999,Der Deutsche Kulturstaat und der Muslimische Kulturimport: Die Antwort des Grundgesetzes auf eine Religiöse Herausforderung.,Juristenzeitung,"{""Hillgruber, C.""}","54","11","538-547",,,,"Hillgruber, Christian. ""Der Deutsche Kulturstaat und der Muslimische Kulturimport: Die Antwort des Grundgesetzes auf eine Religiöse Herausforderung."" Juristenzeitung 54, no. 11 (1999), 538-47.",,
"2-s2.0-84960472235","2-s2.0-84856907961",2014,230,2001,Islamischer Religionsunterricht und Islamkunde an öffentlichen Schulen in Deutschland.,Juristenzeitung,"{""Muckel, S.""}","56","2","58-64",,,,"Muckel, Stefan. ""Islamischer Religionsunterricht und Islamkunde an öffentlichen Schulen in Deutschland."" Juristenzeitung 56, no. 2 (2001), 58-64.",,
"2-s2.0-84962506273","2-s2.0-84962501913",2016,15,1960,Rezension zu Max Hirschberg «Das Fehlurteil im Strafprozeß»,JuristenZeitung,"{""Peters, K.""}","15",,"230f",,,"1960","PETERS K (1960) Rezension zu Max Hirschberg «Das Fehlurteil im Strafprozeß», 1960. In: JuristenZeitung 15: 230f.",,
"2-s2.0-84964223602","2-s2.0-85175797449",2004,15,,,,,,,,,,"See ECourtHR van Mechelen v. The Netherlands, Rep. 1997-III, para. 55, 63; see also Renzikowski, 54 Juristenzeitung 1999, 605","See ECourtHR van Mechelen v. The Netherlands, Rep. 1997-III, para. 55, 63; see also Renzikowski, 54 Juristenzeitung 1999, 605.",,
"2-s2.0-84964336793","2-s2.0-84964368666",2006,1,1995,Irrwege aktionistischer Gesetzgebung - das 26. StÄG (Menschenhandel),Juristenzeitung (JZ),{Schroeder},,,"231",,,"232 ff","Schroeder, Irrwege aktionistischer Gesetzgebung - das 26. StÄG (Menschenhandel), 1995 Juristenzeitung (JZ), p. 231, 232 ff.",,
"2-s2.0-84966857637","2-s2.0-85021681834",2011,33,2009,Stufen der Rechtsstaatlichkeit. Zur Exportfähigkeit einer westlichen Errungenschaft,Juristenzeitung,"{""Grimm, Dieter""}","54",,"596",,,,"Grimm, Dieter. 2009. Stufen der Rechtsstaatlichkeit. Zur Exportfähigkeit einer westlichen Errungenschaft. Juristenzeitung 54, 596–600.",,
"2-s2.0-84966857637","2-s2.0-84875197321",2011,36,1989,Grundrechtsgeltung und Grundrechtsinterpretation im Verfassungsstaat,Juristenzeitung,"{""Häberle, Pete""}","44",,"913",,,,"Häberle, Peter. 1989. Grundrechtsgeltung und Grundrechtsinterpretation im Verfassungsstaat. Juristenzeitung 44, 913–919.",,
"2-s2.0-84966857637","2-s2.0-79957754679",2011,60,2008,Soziales Völkerrecht für eine solidarische Völkergemeinschaft?,Juristenzeitung,"{""Kotzur, Markus""}","63",,"265",,,,"Kotzur, Markus. 2008. Soziales Völkerrecht für eine solidarische Völkergemeinschaft? Juristenzeitung 63, 265–272.",,
"2-s2.0-84966857637","2-s2.0-79956624066",2011,78,2002,Das kommunitäre Völkerrecht,Juristenzeitung,"{""Nettesheim, Martin""}","57",,"569",,,,"Nettesheim, Martin. 2002. Das kommunitäre Völkerrecht. Juristenzeitung 57, 569–578.",,
"2-s2.0-84966857637","2-s2.0-85021635178",2011,81,2010,Verfassungsgerichtsbarkeit als Krönung des Rechtsstaats oder als Feigenblatt autoritärer Regime?,Juristenzeitung,"{""Nußberger, Angelika""}","65",,"533",,,,"Nußberger, Angelika. 2010. Verfassungsgerichtsbarkeit als Krönung des Rechtsstaats oder als Feigenblatt autoritärer Regime? Juristenzeitung 65, 533–540.",,
"2-s2.0-84966857637","2-s2.0-84861893796",2011,101,2006,Normentheorie vs. Terrorismus: Der Vorrang des UN-Rechts vor EU-Recht,Juristenzeitung,"{""Schmalenbach, Kerstin""}","61",,"349",,,,"Schmalenbach, Kerstin. 2006. Normentheorie vs. Terrorismus: Der Vorrang des UN-Rechts vor EU-Recht. Juristenzeitung 61, 349–353.",,
"2-s2.0-84966857637","2-s2.0-84987626476",2011,127,2007,Dialektische Rechtsvergleichung – Zur Methode der Komparatistik im öffentlichen Recht,Juristenzeitung,"{""Tschentscher, Axel""}","62",,"807",,,,"Tschentscher, Axel. 2007. Dialektische Rechtsvergleichung – Zur Methode der Komparatistik im öffentlichen Recht. Juristenzeitung 62, 807–816.",,
"2-s2.0-85120324941","2-s2.0-85124434586",2021,52,2020,Wer wandelt die Verfassung?,JuristenZeitung,"{""Schorkopf, F.""}","75",,"734",,,,"F Schorkopf, 'Wer wandelt die Verfassung?' (2020) 75 JuristenZeitung 734",,
"2-s2.0-84967120915","2-s2.0-84964368666",2005,16,1995,Irrwege aktionistischer Gesetzgebung - das 26. StÄG (Menschenhandel),JURISTENZEITUNG,"{""Schroeder, F.-C.""}","50",,"231",,,"232","Friedrich-Christian Schroeder, Irrwege aktionistischer Gesetzgebung - das 26. StÄG (Menschenhandel), 50 JURISTENZEITUNG 231, 232 (1995).",,
"2-s2.0-84969492119","2-s2.0-84875197321",2009,4,1989,Grundrechtsgeltung und Grundrechtsinterpretation im Verfassungsstaat,JuristenZeitung,"{""Häberle, P.""}",,,"913",,,,"As correctly pointed out by P. Häberle, Grundrechtsgeltung und Grundrechtsinterpretation im Verfassungsstaat, JuristenZeitung 913 ss (1989), comparative law should be considered as the fifth methodology for legal interpretation, in addition to the classical four identified by Savigny in the 19th century (literal, systematic, historical and teleological interpretation).",,
"2-s2.0-84973659557","2-s2.0-84973661815",2016,4,1990,Der Rechnungshof als körperschaftlich-kollegial verfaßte unabhängige Einrichtung,Juristenzeitung,"{""Blasius, H.""}","45","20","954-961",,,,"Blasius, H. (1990), “Der Rechnungshof als körperschaftlich-kollegial verfaßte unabhängige Einrichtung”, Juristenzeitung, Vol. 45 No. 20, pp. 954-961.",,
"2-s2.0-84978091785","2-s2.0-84881992108",2016,32,1992,,Das römischkanonische ius commune als Grundlage europäis cher Rechtseinheit,"{""Zimmermann, Reinhard""}",,,,,,Juristenzeitung,"ZIMMERMANN, Reinhard, ""Das römischkanonische ius commune als Grundlage europäis cher Rechtseinheit,"" Juristenzeitung, 1992.",,
"2-s2.0-84979747844","2-s2.0-30744458057",2016,12,1946,Gesetzliches unrecht und ubergesetzliches recht,Suddeutsche Juristenzeitung,"{""Radbruch, G.""}",,,"105-108",,,(here 107),"Gustav Radbruch, ""Gesetzliches Unrecht und ubergesetzliches Recht, "" Suddeutsche Juristenzeitung (1946), 105-108 (here 107).",,
"2-s2.0-84983097361","2-s2.0-85065626137",2008,29,2003,Von Schafen und Kopft üchern. Das Grundrecht auf Religionsfreiheit in Deutschland vor den Herausforderungen religiöser Pluralisierung.,Juristenzeitung,"{""Heinig, H.M."",""Morlok, M.""}","58","15-16","777-785",,,,"Heinig, Hans Michael and Morlok, Martin. 2003. Von Schafen und Kopft üchern. Das Grundrecht auf Religionsfreiheit in Deutschland vor den Herausforderungen religiöser Pluralisierung. Juristenzeitung 58 (15-16): 777-785.",,
"2-s2.0-84989355127","2-s2.0-35748963347",2016,28,1993,Zur Bestrafung von Unternehmen,Juristenzeitung,"{""Volk, K.""}","48",,"429",,,,"For the German discussion on corporate criminal responsibility, see Klaus Volk, Zur Bestrafung von Unternehmen, 48 JURISTENZEITUNG 429 (1993);",,
"2-s2.0-84989355127","2-s2.0-33845964057",2016,53,2005,Strafrecht ohne Willensfreiheit? Eine Antwort auf die Hirnforschung,Juristenzeitung,"{""Hillenkamp, T.""}","60",,"313",,,,"For critical assessments from the perspective of criminal law, see Thomas Hillenkamp, Strafrecht ohne Willensfreiheit? Eine Antwort auf die Hirnforschung, 60 JURISTENZEITUNG 313 (2005);",,
"2-s2.0-84990985656","2-s2.0-85035625881",2014,33,,,JuristenZeitung,"{""Wasmuth, J.""}",,,,,,,"J. Wasmuth, Keine Sternstunde des Rechtsstaats: Zwei Jahrzehnte Aufarbeitung von SED-Unrecht, in: JuristenZeitung 65/23, 2010, 1133-1192.",,
"2-s2.0-84994853642","2-s2.0-85006577708",2016,9,2012,Rationalitätsanforderungen an die parlamentarische Rechtsetzung im demokratischen Rechtsstaat,Veröffentlichungen Der Vereinigung Deutscher Staatsrechtslehrer,"{""Lienbacher, G.""}","71",,,,,"de Gruyter, and the contributions in K. Meßerschmidt and D. Oliver-Lalana (eds), Rational Lawmaking under Review: Legisprudence According to the German Federal Constitutional Court (Springer 2016). See for an in-depth analysis of rational regulation C. Engel, ‘Rationale Rechtspolitik und ihre Grenzen’ (2005) 60 Juristenzeitung 581","G. Lienbacher,’Rationalitätsanforderungen an die parlamentarische Rechtsetzung im demokratischen Rechtsstaat‘, 71 Veröffentlichungen der Vereinigung Deutscher Staatsrechtslehrer (de Gruyter 2012) 7 and the contributions in K. Meßerschmidt and D. Oliver-Lalana (eds), Rational Lawmaking under Review: Legisprudence According to the German Federal Constitutional Court (Springer 2016). See for an in-depth analysis of rational regulation C. Engel, ‘Rationale Rechtspolitik und ihre Grenzen’ (2005) 60 Juristenzeitung 581.",,
"2-s2.0-84996737803","2-s2.0-85070770548",2016,73,2009,,Farben Vor Gericht: Von Den Ursprüngen Eines Wirtschaftsvölkerstrafrechts,"{""Jeßberger, F."",""Die, I.G.""}","19",,"924",,,Juristenzeitung,"F Jeßberger, 'Die I.G. Farben vor Gericht: Von den Ursprüngen eines ""Wirtschaftsvölkerstrafrechts""' 19 Juristenzeitung (2009) 924.",,
"2-s2.0-85016311672","2-s2.0-84922318294",1998,381,1993,Karl Larenz und der Nationalsozialismus,Juristenzeitung,"{""Jakobs, H.H.""}",,,"805",,,Karl Larenz was a disciple of the neo-Hegelian scholar Julius Binder (1870–1939) who equally joined the Nazi party,"H.H. Jakobs, “Karl Larenz und der Nationalsozialismus”, (1993) Juristenzeitung 805. Karl Larenz was a disciple of the neo-Hegelian scholar Julius Binder (1870–1939) who equally joined the Nazi party.",,
"2-s2.0-84927074632","2-s2.0-0038905682",2008,10,1998,Der Rechtsschutz gegen Europol,Juristenzeitung,"{""Frowein, J."",""Krisch, N.""}",,,"589-597",,,,"J. Frowein and N. Krisch, 'Der Rechtsschutz gegen Europol' (1998) Juristenzeitung 589-597",,
"2-s2.0-84928199960","2-s2.0-33751576776",2014,40,2002,Souveränität - Verteidigung eines Rechtsbegriffs,,"{""Hillgruber, C.""}",,,"1072",,,Juristenzeitung,"Hillgruber, Christian, Souveränität - Verteidigung eines Rechtsbegriffs, in:Juristenzeitung 2002, p. 1072.",,
