"keyword","item_cnt"
Urban Resilience,1
Data Sharing,1
Zero-Knowledge Proofs,1
Data Science,1
Refugee Studies,1
Regenerative Braking,1
Regimen,1
Regional Development,1
Regional Disparities,1
Data Provenance,1
Regional Identity,1
Data Analysis,1
URL Filtering,1
Cyberbiosecurity,1
Customary international law,1
Regulatory Capitalism,1
Currency Crises,1
Cupola,1
Cuneiform Writing,1
Regulatory Expropriation,1
Culture,1
Regulatory Governance,1
Usage,1
Cultural Translation,1
Regulatory Reform,1
Access to Justice,1
User Experience,1
Cultural Theory,1
Cultural relativism,1
Reimbursement,1
Cultural Relations,1
Reinterpretation,1
Relational Aesthetics,1
Relational Sociology,1
Relationship Quality,1
Cultural property,1
Cultural Interaction,1
Cultural Imperialism,1
Cultural Exchange,1
Religious dynamics,1
Cultural Entanglement,1
User-Generated Content,1
Cultural Diplomacy,1
Cult,1
Cucurbita pepo,1
Cryptocurrencies,1
Cruelty,1
Cru,1
Crowdsourcing,1
Cross-Cultural Encounters,1
Croatian,1
Critical Pedagogy,1
Critical Peace Education,1
CRISPR Systems,1
User Participation,1
Remedial education,1
Crisis Communication,1
Anaesthesia,1
Remote Data Checking,1
Remote Monitoring,1
Removal Methods,1
Utopia,1
Worksite Health Promotion,1
Criminal trial,1
Criminal responsibility,1
Criminal Code,1
Criminal case,1
Criminal Anthropology,1
Crimes against humanity,1
Representative democracy,1
Creative Economy,1
Crankshaft Failure,1
Reproductive Technologies,1
Requisition,1
Resampling Detection,1
Rescission,1
Covert,1
Research Ethics,1
Counterinsurgency,1
Research Methodology,1
Counterculture,1
Anachronism,1
Resident Assessment Instrument,1
Residential Areas,1
Vaccine Effects,1
Resilience Governance,1
Cost-Benefit Analysis,1
Corrosion Failures,1
Corrin,1
Vaginal Birth,1
Amnesty International,1
Value Creation,1
Resource Allocation,1
Resource Depletion,1
Corporatism,1
Resource Utilization,1
Corporate Performance,1
Corporate Environmentalism,1
Corporate Bonds,1
Coronavirus,1
Rest (music),1
Amnesty,1
Restructuring,1
Retail Contracting,1
Retirement,1
American history,1
Rett syndrome,1
Review Spam,1
Alternative Medicine,1
Revolution,1
Coptic Language,1
RFID,1
Coping Strategies,1
Rhetorical device,1
Coordinate Transformation,1
Convertible bond,1
Convertible,1
Control function,1
Vehicle Diagnostics,1
Right to Health,1
Right to life,1
Control-Flow Integrity,1
Contributory negligence,1
Contract theory,1
Risk-based,1
Risk-Based Regulation,1
Contingency,1
Alterity,1
Contextualizing Data,1
Contempt,1
Vehicle Propulsion Systems,1
Rite,1
Rite of passage,1
Contemplation,1
Container Terminals,1
Rivalry,1
Road Infrastructure,1
Road Safety,1
Vehicle-to-Grid,1
Consumption,1
Consummation,1
Robustness (evolution),1
Rock Climbing Injuries,1
Rodent Eradication,1
Romance,1
Consumer Perception,1
Consumer Behavior,1
Consumer Acceptance,1
Constructive,1
Construction Safety,1
Constitutional theory,1
Constitutional right,1
Rose (mathematics),1
Rotating Detonation Combustors,1
Constitutional Interpretation,1
Vehicular Ad Hoc Networks,1
Ven,1
Constitutional interpretation,1
Rubbing,1
Consent,1
Rulemaking,1
Connecting Rod,1
Confluence,1
Conflict analysis,1
Ruling class,1
Rural Development,1
Rural Gentrification,1
Conflict,1
Rural-Urban Migration,1
Russia,1
Rwanda,1
Confiscation,1
Venomous Caterpillars,1
Sacrifice,1
Safeguarding,1
Safety Analysis,1
Safety Assurance,1
Safety Measures,1
Salvation,1
Sample Preparation Techniques,1
Venture Capital,1
Confidence Intervals,1
Sandbox (software development),1
Confessional,1
Sasanian Iran,1
Sass,1
Satellite Imagery,1
Satellite Programs,1
Scabies,1
Scala,1
Concordance,1
Conceptual Variation,1
Conceptual history,1
Almeria,1
Verdict,1
Scholarly Activity,1
Scholarly Editions,1
Versa,1
Competitive sport,1
Schooling,1
School Inspections,1
Competence,1
Comparative Politics,1
Schumann resonances,1
Algebraic,1
Science Circulation,1
Vertical Handover,1
Scientific Culture,1
Scientific Expeditions,1
Scientific Institutions,1
Scientific Intelligence,1
scientific opinion,1
Comparative history,1
Scotland,1
Vertical Integration,1
Scots law,1
Scotus,1
Screen Time,1
Scrum,1
Comorbidity,1
Searchable Encryption,1
Search and seizure,1
Community Resilience,1
Alcohol Withdrawal,1
Community Participation,1
Secondary Analysis,1
Community Engagement,1
Communication Strategies,1
Air Traffic Management,1
Secular variation,1
Secure Computation,1
veterinarian-client communication,1
Communication Integration,1
Common Agricultural Policy,1
Security Analysis,1
Commercial Diplomacy,1
Veterinary Diagnosis,1
veterinary surgeons,1
Colonisation,1
Security Policies,1
Colonial Psychiatry,1
Airport Operations,1
Collaborative Digital Scholarship,1
Sedition,1
Seismometer,1
Selective Embryo Transfer,1
Vicarious liability,1
Collaborative Consumption,1
Self driving,1
Cohesion (chemistry),1
Self-Employment,1
Self-Experience,1
Cognitive Training,1
Selfie,1
Self-Incompatibility,1
Self-incrimination,1
Self-Management,1
Self-Pressurization,1
Self-Regulation,1
Self representation,1
Semantic Business Process Management,1
Cognitive Impairment,1
Semantic Web,1
Zoonotic Diseases,1
Cognitive-Behavioral Therapy,1
Seniority,1
Sensor Calibration,1
Sensory Studies,1
Airport Efficiency,1
Sentiment Analysis,1
Cognitive,1
Coercivity Enhancement,1
Separation (statistics),1
Coercive Diplomacy,1
Code Clone Detection,1
CO2 Conversion,1
Sermon,1
Servant,1
Service-Oriented Science,1
Service Selection Algorithms,1
Cloud storage,1
Victimology,1
Closet,1
Clinical Xenotransplantation,1
Settler Colonialism,1
Clinical Practice Guidelines,1
Sexting,1
Sexual Addiction,1
Video Games,1
Clinical Effectiveness,1
Sexual Health,1
Climate Risks,1
Aid Allocation,1
Sexual Violence,1
Clementine (nuclear reactor),1
Shadow Economy,1
Shame,1
Sharecropping,1
Shared Autonomous Vehicles,1
Shared Decision-Making,1
Claw,1
Classroom Interaction,1
Shares outstanding,1
Viola,1
Classification,1
Classical tradition,1
Shipwrecks,1
Shoulder Arthroplasty,1
Shoulder Function,1
Shoulder Pathology,1
Shutdown,1
Sickness Presenteeism,1
Side-Channel Attacks,1
Classical Studies,1
Sight,1
Signature Verification,1
Agriculture,1
Silk Roads,1
Simile,1
Simplex,1
Classical period,1
Classical liberalism,1
CLARITY,1
Skeptical Theism,1
Civil society,1
Sketch,1
Agrarian system,1
Viral Transmission,1
Skin Sensitization,1
Aging,1
Civil service,1
Sleep Disruption,1
Sleepwalking,1
Sling (weapon),1
Virtual Customer Environments,1
Virtualization,1
Civil servants,1
Small Island Developing States,1
Smart contract,1
World history,1
Smart Homes,1
Smartphone app,1
Smart Specialization,1
Smiley,1
Civil Religion,1
Social Amplification of Risk,1
Academic Medicine,1
Social Boundaries,1
Social Capital,1
Civil Procedure,1
Social conflict,1
Civil Justice Problems,1
Social contract,1
Social democracy,1
Social Determinants of Health,1
Social Disorganization Theory,1
Social distance,1
Civil Economy,1
Civil disobedience,1
Social Finance,1
Cinematic Success,1
Social Impact Bonds,1
Churning,1
Church in Global Cities,1
Social institution,1
social interactions,1
Chronology,1
Christian tradition,1
Sociality,1
Social justice,1
Christian Orthodoxy,1
Cholinergic Urticaria,1
Choanal Atresia,1
Chivalry,1
Social Pathologies,1
Wright,1
Chinese Sovereignty,1
Chinese Medicinal Prescription,1
Social Psychiatry,1
Social Psychology,1
Visas,1
Social rights,1
Chilean Literature,1
Chile,1
Child Safety Seats,1
Child Protection,1
Social status,1
Child pornography,1
Child Development,1
Childbirth Experience,1
Socio-Economic Inequality,1
Agile Supply Chains,1
Childbirth,1
Chenopodiaceae,1
Chemical warfare,1
Chemical Safety,1
Sociological imagination,1
Sociological research,1
Sociological theory,1
Chapel,1
Chain (unit),1
Writ,1
Visual Culture,1
Certification,1
Aggression,1
Sodomy,1
Visual Odometry,1
Visual semiotics,1
Certainty,1
Vocal Learning,1
cerebral cortex studies,1
Academic Language,1
Central Asia,1
Software Quality,1
Software Reliability Modeling,1
Soils,1
Celtic languages,1
Agent-Based Modeling,1
Solid-Phase Microextraction,1
Somalia,1
Somatic Symptoms,1
Voter Behavior,1
Voting Behavior,1
South carolina,1
Cellular Reprogramming,1
Sovereign state,1
Cell Proliferation,1
Sovereign Wealth Funds,1
Soviet Union,1
Cell Biology,1
Cause of action,1
Vulnerability (computing),1
Causation,1
Agent-Based Control Systems,1
Spam Detection,1
Spanish Art,1
Spanish Literature,1
Spanish Monarchy,1
Spanner,1
Spare part,1
Spark plug,1
Spartan,1
Spatial Analysis,1
Causality (physics),1
Spatial planning,1
XML-Based Management,1
Special Educational Needs,1
Specialized Language,1
Spectroscopy,1
Spectrum Balancing,1
Spectrum Coexistence,1
Speed Control,1
Spell,1
Walter Benjamin,1
Sphinx,1
Catholicism,1
Agatha,1
Caterpillar Envenoming,1
Sporting Contests,1
Sport Tourism,1
Cassia tora,1
Stadium,1
Staffing,1
Warehouse Design,1
Carsharing Systems,1
Capital Punishment,1
Capital punishment,1
Waste-to-Energy,1
Star (game theory),1
Wastewater Contaminants,1
Capital investment,1
Cancer Prevention,1
State Capitalism,1
Camera Model Identification,1
Statement (logic),1
Cambodia,1
Wastewater Treatment,1
Callous-Unemotional Traits,1
State security,1
calcification,1
Statistic,1
Cage,1
Statistical Machine Translation,1
Water Availability,1
Status quo bias,1
Water Deficit,1
Steering committee,1
Water Distribution Networks,1
Water Justice,1
Water Management,1
Water Privatization,1
Byzantine Understanding of Qur'an,1
Business Intelligence,1
Business continuity,1
Burnout,1
Afterlife,1
Stigma (botany),1
Burden of Proof,1
Bullion,1
St louis,1
Bulla (seal),1
Stock Market,1
Bulgarian,1
Storage Assignment,1
Storage Systems,1
Yesterday,1
Strategic Information Systems Planning,1
Building Ventilation,1
Stream Processing,1
Street Art,1
Streptomyces albus,1
Stress,1
Stress in Horses,1
Stringer,1
African Union,1
Building Information Modelling,1
Structural Change,1
Structural Factors,1
Structural functionalism,1
Building Construction,1
Structuring,1
Student Attitudes,1
Stupor,1
Building Automation,1
Subject matter,1
Bug Localization,1
Buckingham,1
Subrogation,1
Subseafloor Sediments,1
Bruising Patterns,1
Substitution (logic),1
Bronze Age,1
Broadband Wireless Access,1
Broad band,1
British Army,1
Bridge Inspection,1
Bridge Employment,1
Young Carers,1
Sukuk,1
Summons,1
Breeder (animal),1
Supervisory board,1
Supplier Development,1
Breach of contract,1
Brand Trust,1
African Politics,1
African Christianity,1
Brand Loyalty,1
Surety,1
Brand Equity,1
Surgery,1
Weir,1
Brand Community,1
Brand Communities,1
Surveillance Technologies,1
Affect (linguistics),1
Brand Attachment,1
Sustainability Assessment,1
Bounded Confidence,1
Sustainability Indicators,1
Sustainability Labels,1
Affection,1
Sustainability Reporting,1
Bot Detection,1
Sustainable Chemistry,1
Aerial Survey,1
Sustainable consumption,1
Book Trade,1
Book History,1
Sustainable Farming,1
Sustainable Procurement,1
Sweatshop,1
Swift,1
SWORD,1
Western europe,1
Blocking (statistics),1
Syntax,1
Block Ciphers,1
System Logs,1
Table (database),1
Taliban,1
Tampering Localization,1
Tandem,1
Blessing,1
Black Sea,1
Tattoos,1
Blacklisting,1
Bit (key),1
Academic Identity,1
Biopolitics,1
West virginia,1
Tax Morale,1
Biopharmaceutical Production,1
Tax planning,1
Biometrics,1
Tax Shields,1
Biogeography,1
Bioeconomy,1
Biodiversity Offsets,1
Technocracy,1
Technological Innovations in Healthcare,1
Technological Reproducibility,1
Biobanking,1
Bibliophilia,1
Bibliography,1
Abusive Head Trauma,1
Biblical Monotheism,1
Abort,1
Biblical Hebrew,1
Zombie,1
Betrayal,1
BETA (programming language),1
Betalains,1
TEMPUS,1
Terminology,1
Intervention Programs,1
Interpreter Services,1
Intrahousehold Allocation,1
Bergman kernel,1
Internet Use,1
Internet portal,1
Internet Applications,1
Benchmarking,1
Internet Addiction,1
International waters,1
International Travel,1
Investor-state dispute settlement,1
International trade law,1
Involution (esoterism),1
International Institutions,1
Iraq,1
International economic law,1
Irrational Beliefs,1
International conflict,1
Irregular migration,1
Islam,1
International business,1
Islamic Education,1
International arbitration,1
International Aid,1
International Accounting Standards,1
Intermodal Transportation,1
Islands,1
Territoriality,1
Issuer,1
Intermodal Freight Transport,1
IT Alignment,1
Interlocking,1
Belt and Road Initiative,1
Jewish history,1
Territorial waters,1
Jewish question,1
Jigsaw Puzzles,1
Josephus,1
Joule (programming language),1
Behavioural Assessment,1
Intergovernmental Relations,1
Intergenerational Relations,1
Interfaith Relations,1
Interdisciplinary Phenomenology,1
Judicial discretion,1
Interconnectivity,1
Judicial independence,1
Intellectual Exchange,1
judicial influence,1
Judicial Instructions,1
Behavioral Finance,1
Intellectual Capital,1
Behavioral Analysis,1
Integration Strategies,1
Intangible Heritage,1
Begging,1
Judicial reform,1
Insurgency Paradigm,1
Tethering,1
Jungle,1
Instrumentalism,1
Instructional Improvement,1
Juror Comprehension,1
Beat (acoustics),1
Institutional Quality,1
Just Price,1
Text Analysis,1
Institutional Evolution,1
Text Detection,1
Kali,1
Insider threat,1
Inquest,1
Innovation Systems,1
Innovation Diplomacy,1
Innovation and Imitation,1
Kilometer,1
Injury Severity,1
Knight,1
Bazaar,1
Knowledge Representation,1
Inherent Safety,1
Text Localization,1
Ingestion,1
Kurdish question,1
Labor Conditions,1
Inga,1
Infrastructure Condition Assessment,1
Infrastructure,1
Information System Integration,1
Labor Movement,1
Labor Relations,1
Labor Rights,1
Information society,1
Information Retrieval,1
Lag time,1
Information exchange,1
Laminar Flame Speeds,1
Land Administration,1
Text Messaging,1
Land grabbing,1
White paper,1
Informal Settlements,1
Landslides,1
Wide Awake Hand Surgery,1
Bayesian Methods,1
Textual criticism,1
Textual Criticism,1
Battery Life Optimization,1
Informal Economy,1
Informal Caregiving,1
Language Barriers,1
Theme (computing),1
Influencer Marketing,1
Bats,1
Infectious Diseases,1
Infallibility,1
Inequalities,1
Laos,1
Industrialization,1
Inductively Coupled Plasma Mass Spectrometry,1
Law and development,1
Law and Economics,1
Induced Pluripotent Stem Cells,1
Law and literature,1
Bast fibre,1
Law Enforcement Response,1
Lawlessness,1
Basso continuo,1
Indigenous Rights,1
Indigenous History,1
Law reform,1
Lawsuit,1
Indeterminacy (philosophy),1
Independent state,1
Theosophy,1
Leapfrogging,1
Independence,1
Therapeutic touch,1
Inclusive Wealth,1
Legal Astuteness,1
Base (topology),1
Legal consciousness,1
Inborn Errors of Metabolism,1
Imprinting Disorders,1
Impression,1
Implementation Procedures,1
Barriers and Strategies,1
Implementation Intentions,1
Implant Failure,1
Impeachment,1
Legal formalism,1
Impartiality,1
Legal guardian,1
Immersive Simulations,1
Imaging,1
Image Matching,1
Advocacy,1
Legal Institutions,1
ICU-Acquired Weakness,1
Legalization,1
ICU,1
ICTs,1
Legal Modernization,1
Wikipedia,1
Legal opinion,1
ICT Emissions,1
Iceland,1
Ibis,1
Iberian,1
Hygrothermal Properties,1
Hydrological Analysis,1
Hybrid Warfare,1
Legal Regulation,1
Hybridity,1
Human-Wildlife Conflict,1
Human Suffering,1
Human security,1
The Void,1
Human Rights Litigation,1
Human Rights Education,1
Human Microbiome,1
HTLV-1,1
Legal translation,1
Housing First,1
House Prices,1
Legend,1
House of Commons,1
Legislative history,1
Household Decision Making,1
Hotline,1
Lernaean Hydra,1
Homophobia,1
Lever,1
Homomorphic Encryption,1
Homo economicus,1
Homelessness,1
Lexis,1
Homeland,1
Liability Regimes,1
Thiol Detection,1
Hollywood,1
Libor,1
Library Linked Data,1
Hock,1
Lichen,1
Lidar Remote Sensing,1
Lien,1
Life imprisonment,1
Life insurance,1
Third party,1
Baroque Painting,1
Limited English Proficiency,1
Limiting,1
Line (geometry),1
Hobby,1
Hittite language,1
Linguistic Competence,1
Linguistic diversity,1
History of England,1
Historicism,1
Historical Sources,1
Historical Memory,1
Linked Data,1
Historical Evolution,1
Baroque,1
Liquefied Natural Gas (LNG),1
Liquidity,1
Hispanic Linguistics,1
Hindsight bias,1
Literary History,1
Literary Theory,1
Thomism,1
Thorium Fuel Cycle,1
High tech,1
Heterotopia (medicine),1
Heterogeneous Wireless Networks,1
Lithuanian,1
Hesiod,1
Hertz,1
HERO,1
Liverworts,1
Livestock Breeding,1
Throne,1
Thumbnail,1
Local Food,1
Local Government,1
Localization,1
Barometer,1
Location Privacy,1
Log Analysis,1
Heritage Conservation,1
Long-Acting Reversible Contraception,1
Longitudinal Research,1
Longitudinal Studies,1
Looting,1
Luck,1
Luminescent Materials,1
Lusophone,1
Help-Seeking Behaviors,1
Helmet Use,1
Timber Production,1
wikis,1
Health-Related Quality of Life,1
Machine Translation,1
Macroeconomics,1
Health Claims,1
Tolerance Analysis,1
Wildlife Health,1
Magnum opus,1
Maintenance,1
Malayan Emergency,1
Health Checks,1
Male Homosexuality,1
Health Care Workers,1
Banner,1
Malus,1
Toolbox,1
Management control system,1
Healthcare Policies,1
Manger,1
Manichaeism,1
Tool Integration,1
Healthcare Outsourcing,1
Healthcare Legislation,1
manuscriptology,1
Health Care,1
Manuscript Studies,1
Head Impact,1
Harmony (Music),1
Balkans,1
Marie curie,1
Torah,1
Marine spatial planning,1
Marine Spatial Planning,1
Hacker,1
Habitat Requirements,1
Bachelor,1
maritime trade,1
Total Hip Replacement,1
Totalitarianism,1
Market Competition,1
Market Dynamics,1
Habitat,1
Market Entry Barriers,1
Wilms tumour,1
Market Integration,1
Market Irregularities,1
Market Orientation,1
Market Populism,1
Habit,1
Market Size,1
Habilitation,1
Market Value,1
Habeas corpus,1
Markup Semantics,1
Marten,1
Guidelines for Management,1
Martyr,1
Marxism,1
Guard (computer science),1
Griffin,1
Materiality (auditing),1
Grievance,1
Greenwashing,1
Wind Power,1
